id;marca;modelo;kilometraje;color;tipo_coche;estado;precio
1;Morado;indexing Montserrat Raton;7091;Amarillo;utilización;cara Guapa;69514
2;Account artificial Compartible;Account Exclusivo Ladrillo;42515;Amarillo;Berkshire Dollar Guapo;contingencia;50810
3;B2C group;Coordinador;45264;Rojo;Berkshire Decoración transmitting;Negro Aldea IB;80203
4;aprovechar encriptar;Director input Checking;11522;Amarillo;Gorro unleash;Interno Méjico;25773
5;Rampa Yemeni Director;Inversor Navarra quantify;90439;Rojo;Decoración Borders;Negro Atún;10420
6;Regional red Camiseta;Seguridada fritas;70393;Morado;microchip habilidad world-class;parse Arquitecto;11348
7;el;Turquia Inteligente Humano;13709;Azul;feed;payment programming Auto;33534
8;Joyería cero;Guapa Distrito;24670;Gris;mindshare;revolutionary Ergonómico Metal;20493
9;facilitate Account;Comunicaciones;23588;Violeta;recontextualize Silla Senior;Genérico;63162
10;Irak habilidad TCP;Analista;97136;Amarillo;TCP impactful;Avon;11833
