id;id_venta;id_cliente;descuento;venta_id
1;Lugar whiteboard;experiences Administrador;magnetic;1
2;auxiliary configurable;Zapatos Tenge;unleash secundaria 1080p;2
3;incentivize;Heredado payment;Algodón;3
4;iniciativa;Metal;web;4
5;navigating bricks-and-clicks metrics;ROI;HDD;5
6;SQL Granito wireless;cero digital;Sorprendente Cambridgeshire;6
7;Técnico;Castilla Sorprendente;compress Planificador withdrawal;7
8;monitor;Humano mano Estratega;Valenciana Operativo Facilitador;8
9;Gold Estratega Representante;synergize;a;9
10;Bacon Polarizado parsing;uniforme;Ergonómico;10
